instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
27,New,4,20.570922,22.537880,22.537880,25.766834,34.000000,34.000000,0.040802,0.137371,0.164257,0.185233,232,1232,3600.000000,4,6,6,GUROBI,1,0,0,0
28,New,4,20.695922,22.712739,22.712739,25.944776,34.250000,34.250000,0.037184,0.139439,0.237321,0.240506,534,2408,3600.000000,4,6,6,GUROBI,1,0,0,0
29,New,4,20.570922,22.549755,22.549755,26.290938,34.000000,34.000000,0.046998,0.353055,0.379385,0.413483,302,1703,3600.000000,4,6,6,GUROBI,1,0,0,0
30,New,4,20.445922,22.412880,22.412880,25.255009,33.875000,33.875000,0.059548,0.138817,0.192515,0.198496,314,1574,3600.000000,4,6,6,GUROBI,1,0,0,0
31,New,4,20.405464,22.414617,22.414617,26.129981,33.875000,33.875000,0.034998,0.148665,0.221256,0.231162,368,2102,3600.000000,4,6,6,GUROBI,1,0,0,0
32,New,4,20.675202,22.662880,22.662880,25.563624,34.125000,34.125000,0.033906,0.134451,0.191934,0.215387,389,2065,3600.000000,4,6,6,GUROBI,1,0,0,0
33,New,4,20.570922,22.549755,22.549755,25.783068,34.000000,34.000000,0.048695,0.296152,0.374877,0.378277,436,2033,3600.000000,4,6,6,GUROBI,1,0,0,0
34,New,4,20.570922,22.537880,22.537880,25.766834,34.000000,34.000000,0.054265,0.888535,0.902645,0.932378,209,1156,3600.000000,4,6,6,GUROBI,1,0,0,0
35,New,4,20.670546,22.662880,22.662880,25.575156,34.125000,34.125000,0.053368,0.136690,0.159913,0.179476,237,1093,3600.000000,4,6,6,GUROBI,1,0,0,0
36,New,4,20.611585,22.558930,22.558930,25.607766,34.125000,34.125000,0.039461,0.168557,0.218715,0.235168,321,1691,3600.000000,4,6,6,GUROBI,1,0,0,0
37,New,4,20.741035,22.662880,22.662880,26.136753,34.125000,34.125000,0.035213,0.120245,0.145775,0.172982,250,1415,3600.000000,4,6,6,GUROBI,1,0,0,0
38,New,4,20.570922,22.537880,22.537880,26.027422,34.000000,34.000000,0.034696,0.152993,0.207546,0.222338,354,1866,3600.000000,4,6,6,GUROBI,1,0,0,0
39,New,4,20.595361,22.544840,22.544840,25.964130,34.000000,34.000000,0.034553,0.126065,0.202739,0.224918,557,2357,3600.000000,4,6,6,GUROBI,1,0,0,0
40,New,4,20.530259,22.537880,22.537880,26.243670,34.000000,34.000000,0.034324,0.144837,0.162651,0.197116,244,1446,3600.000000,4,6,6,GUROBI,1,0,0,0
41,New,4,20.445922,22.412880,22.412880,25.174074,33.875000,33.875000,0.033864,0.105881,0.137020,0.150057,239,1116,3600.000000,4,6,6,GUROBI,1,0,0,0
42,New,4,20.650808,22.662880,22.662880,26.295255,34.125000,34.125000,0.035022,0.179333,0.276819,0.291123,584,2788,3600.000000,4,6,6,GUROBI,1,0,0,0
43,New,4,20.570922,22.537880,22.537880,26.578088,34.000000,34.000000,0.034312,0.186168,0.231250,0.241610,326,1695,3600.000000,4,6,6,GUROBI,1,0,0,0
44,New,4,20.570922,22.587739,22.587739,26.259216,34.125000,34.125000,0.032610,0.226667,0.283130,0.294239,299,1751,3600.000000,4,6,6,GUROBI,1,0,0,0
45,New,4,20.570922,22.549755,22.549755,26.248804,34.000000,34.000000,0.039497,0.174519,0.213122,0.216368,226,1243,3600.000000,4,6,6,GUROBI,1,0,0,0
